id,transfer_id,to_account_number,to_account_name,to_bank_name,to_routing_number,transfer_type,amount,status,memo,scheduled_date,transfer_fee,exchange_rate,processing_time_hours,requires_approval,approved_by,approval_date,created_at,updated_at,completed_at,credit_transaction_id,debit_transaction_id,from_account_id,to_account_id
7066,0283387c-84c3-4881-8804-20c9e60cb074,,,,,INTERNAL,451.72,COMPLETED,,,0.0,1.0,0,False,,,2025-07-21 11:11:32.808220+00:00,2025-07-21 11:11:32.813115+00:00,2025-07-21 11:11:32.680712+00:00,9503.0,9502.0,235,238.0
7067,e170bcfd-4a80-46b4-9120-1638267b09db,,,,,INTERNAL,113.2,PENDING,,,0.0,1.0,0,False,,,2025-07-21 11:11:32.814125+00:00,2025-07-21 11:11:32.814128+00:00,,,,238,237.0
7068,9911f4fd-b4c6-4805-93aa-c10a15c0b9cd,,,,,INTERNAL,23.21,PENDING,Them can see better rather painting.,,0.0,1.0,0,False,,,2025-07-21 11:11:32.815183+00:00,2025-07-21 11:11:32.815188+00:00,,,,236,237.0
7069,a3ea3b46-854a-4fbc-860d-d010cb8604fa,,,,,INTERNAL,111.07,COMPLETED,,,0.0,1.0,0,False,,,2025-07-21 11:11:32.816180+00:00,2025-07-21 11:11:32.821328+00:00,2025-07-21 11:11:32.185275+00:00,9505.0,9504.0,238,236.0
7059,24b793f0-af7a-462d-a40f-5ad46ed087fb,,,,,INTERNAL,260.41,COMPLETED,,,0.0,1.0,0,False,,,2025-07-21 11:11:32.774314+00:00,2025-07-21 11:11:32.780326+00:00,2025-07-21 11:11:32.048856+00:00,9493.0,9492.0,237,236.0
7060,7699654d-0298-4d73-a41e-e5191b8e7a51,,,,,INTERNAL,86.1,COMPLETED,Mission speak project form have.,,0.0,1.0,0,False,,,2025-07-21 11:11:32.781568+00:00,2025-07-21 11:11:32.786735+00:00,2025-07-21 11:11:32.891177+00:00,9495.0,9494.0,236,235.0
7061,f6c9031a-fdbb-4cc2-98c8-332afcff3e34,,,,,INTERNAL,1043.1,COMPLETED,Four future coach thought.,,0.0,1.0,0,False,,,2025-07-21 11:11:32.787906+00:00,2025-07-21 11:11:32.793030+00:00,2025-07-21 11:11:32.518152+00:00,9497.0,9496.0,237,235.0
7062,6db5ee8f-f9da-431c-8f3a-ce4263b4ed92,,,,,INTERNAL,255.14,COMPLETED,,,0.0,1.0,0,False,,,2025-07-21 11:11:32.794203+00:00,2025-07-21 11:11:32.799328+00:00,2025-07-21 11:11:32.021060+00:00,9499.0,9498.0,235,238.0
7063,232a9831-4e55-4696-936d-9786d65953aa,,,,,INTERNAL,32.03,COMPLETED,,,0.0,1.0,0,False,,,2025-07-21 11:11:32.800385+00:00,2025-07-21 11:11:32.805292+00:00,2025-07-21 11:11:32.306991+00:00,9501.0,9500.0,238,235.0
7064,bf39f2e8-c1ea-4f05-a178-77e7579141b0,,,,,INTERNAL,49.16,PENDING,Long measure what top turn.,,0.0,1.0,0,False,,,2025-07-21 11:11:32.806403+00:00,2025-07-21 11:11:32.806407+00:00,,,,235,238.0
7065,30384186-af12-4e27-89de-67ee74a119df,,,,,INTERNAL,371.97,PENDING,,,0.0,1.0,0,False,,,2025-07-21 11:11:32.807323+00:00,2025-07-21 11:11:32.807328+00:00,,,,235,238.0
7070,200813fb-175d-4bcb-bf58-1b9f5e05c5be,VSIO05364810316478,Danielle Mcgee,Pitts-Smith,034035300,ACH,206.58,PENDING,With pretty behavior truth.,,0.0,1.0,24,False,,,2025-07-21 11:11:32.822775+00:00,2025-07-21 11:11:32.822778+00:00,,,,238,
